Company Name,Job Summary,Job Title,Location,Salary
Stitch Fix,You'll have access to world-class data scientists (and data) to help conceptualize story ideas. A strong background integrating data into content....,Men's Editorial Lead,San Francisco,L
SigFig,"We are looking for an investments analyst to join our research and investment product team. You have a broad skill set, comfortable in analyzing globally",Quantitative Research Analyst,San Francisco,L
Searchwright,"Our client, a San Francisco-based hedge fund with an excellent track record, is seeking a Research Analyst - Hedge Fund Due Diligence to join their team. The",Research Analyst - Hedge Fund Due Diligence,San Francisco,L
Unity Technologies,2-5 plus years of experience working with data as an analyst or data scientist. Senior Data Analyst – Analytics....,Senior Data Analyst - Analytics,San Francisco,L
Pinterest,Pinterest is one of the fastest growing online ad platforms and our success depends on mining rich user interest data that helps us connect users with highly...,Applied Scientist,San Francisco,L
21CT,"Deep learning, data mining, data fusion, machine learning, statistical analysis, natural language processing....",Research Scientist,Austin,L
University of Texas at Austin,Development of tools for quantitative stratigraphic analysis and data analysis/database management. We seek a clastic stratigrapher with strengths in...,Research Scientist,Austin,L
Amazon Corporate LLC,"Strong grasp of data structures and algorithms. This person will work closely with software engineers, data engineers, and other Amazon research scientists to...",Machine Learning Scientist,Austin,L
HomeAway,"If so, then HomeAway has a Data Scientist role for you…. Really love data? Do you love data? These connections generate rich, diverse, and varied data:....",Research Data Scientist,Austin,L
NVIDIA,Compiler Machine Learning Verification Engineer Do you visualize your future at NVIDIA? WE DO! We are now looking for a Compiler Machine Learning,Compiler Machine Learning Verification Engineer,Austin,L
Spredfast,You’ll have a great understanding of social data – including behind-the-scenes data dimensions that can lead to greater insights....,Research and Insights Senior Analyst,Austin,L
University of Texas at Austin,"Knowledge of digital signal processing, image processing, machine learning, autonomous control or statistical data analysis....",Engineering Scientist - R and D Algorithm and System Develop...,Austin,L
Charles Schwab,We are also expected to understand business needs and identify situations when existing data structures are not sufficient to deliver analytical findings and...,"Manager, Statistical Analyst",Austin,L
CCC Information Services Inc.,Work with data scientists and other technical staff to operationalize analysis and machine learning algorithms....,Python Developer,Austin,L
GE Aviation,Data Engineering/Data & Analytics Scientists work with commercial and internal customers to implement new data readout configurations for airborne data...,Data & Analytics Scientist,Austin,L
Amazon Corporate LLC,Are you interested in building data pipelines that process petabytes of customer behavior data? Strong grasp of data structures and algorithms....,"Software Development Engineer, Big Data",Austin,L
Cambia Information Group,"Enjoying spending the workday in coding, numbers and data. PowerPoint, in particular, moving data seamlessly into PowerPoint....",Market Research Analyst,Austin,L
University of Texas at Austin,"Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",Engineering Scientist - Geospatial Application Software Deve...,Austin,L
NVIDIA,"Experience in optimization, common CAD data structures and solvers, and/or data visualization is a plus. Help build an infrastructure for easily interfacing...",Machine Learning for VLSI CAD Engineer,Austin,L
Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...",Data Scientist – Predictive Analytics,Austin,L
Center for Public Policy Priorities,"Embrace your inner data nerd.*. Develops and maintains extensive knowledge of national, state, and local data sources and collects and manages data from state...",Research Analyst,Austin,L
University of Texas at Austin,Demonstrated ability to support post-mission data analysis of high-frequency SONAR systems pertaining to current EOD MCM sensor packages....,Research Engineering/ Scientist Associate II,Austin,L
Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,Data Engineer,Austin,L
Galvanize,"Instructor, Sr Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Instructor, Sr.Data Scientist",Austin,L
Cognitive Scale,"Prototype data models. Modeling of time-series data. Statistical Machine Learning and Data Mining (clustering, classification, ranking, regression, online...",Research Engineer - Machine Learning,Austin,L
Worldwide Clinical Trials,"Review data, recognize and report inconsistencies, and determine the cause and effect. Ability to report data and procedures orally and in writing and interface...",Automation Analyst,Austin,L
Dell,"The Full Stack Developer functions as solutions architect, database developer, data scientist, and web developer....",Full Stack Developer,Austin,L
Spiceworks,"Analyze Spiceworks’ databases, which will include data extrapolation to weight/map data to known populations like census data, D&B records, etc....","Director, Marketing Sciences & Advanced Analytics",Austin,L
Andrew Harper LLC,"Must be able to analyze data to build a story that supports commercial concerns of the company. Andrew Harper, LLC is currently searching for a Research Analyst...",Research Analyst,Austin,L
Accenture,Join Accenture and help transform leading organizations and communities around the world. The sheer scale of our capabilities and client engagements and the,Claims Research Analyst,Austin,L
Galvanize,"Lead Instructor, Principal Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Lead Instructor, Principal Data Scientist",Austin,L
University of Texas at Austin,"Provide technical and research focused leadership and participate in a small, dynamic team of customer focused scientists....",Research Associate - R and D Data Scientist,Austin,L
University of Texas at Austin,Detailed data analyses of GPS observation and navigation data collected from a global GPS tracking network to support objectives related to assessing GPS...,Engineering Scientist - GPS Data Analyst,Austin,L
HomeAway,"Experience in processing and analyzing Big data - i.e large scale data volumes, semi-structured and unstructured data and....",Staff Data Scientist,Austin,L
Express Scripts,Mapping qualitative data to quantitative data. We are looking for a data scientist with a passion for user. Learning and data mining algorithm usage....,Senior Quantitative UX Researcher,Austin,L
24 Seven Inc,A fun company in downtown Austin is looking for a JR QA associate for a 5 month temp assignment. The pay rate is $17.99/HR Description:  * Work with,Junior Research/QA Analyst (Internet Product),Austin,L
City of Austin,"2 years experience in data statistical analysis. Please see the Duties, Functions and Responsibilities Section for Minimum Qualifications on this position....","MuniProg, Research Analyst (Temp) Paraprofessional",Austin,L
Alcatel-Lucent,"World-wide, our software helps service providers deliver a new generation of data services into a single, connected experience for their customers....",PMO CNO CXS Co-op,Austin,L
Bioo Scientific Corp.,"Broad experience analyzing large data sets, preferably NGS data. Exploring new data analysis tools and management of large data storage....",Bioinformatics Analyst – 020,Austin,L
"Gartner, Inc.",Hypothesis formation and data identification. Define requirements and manage data sources. Implement data collection tags & analytics tools....,"Content Marketing Analyst, Gartner Research",Austin,L
Square Root,"We depend on our senior developers to be highly collaborative within the engineering group as well as with product managers and data scientists, so that Square...",Senior Developer (Remote),Austin,L
IBM,"The Senior Data Scientist will:. Data mining tools:. Find and interpret rich data sources, manage large amounts of data and create visualizations to aid in...",GBS Watson Health - Senior Data Scientist,Austin,L
University of Texas at Austin,Investigate new applications of GPS/GNSS receiver data. Perform processing and detailed analysis of data collected by GPS/GNSS receivers....,Engineering Scientist - GNSS Analyst,Austin,L
Lifetime Fitness,Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....,Ultimate Hoops Statistician,Austin,L
Dimensional Fund Advisors,"Dimensional is a privately owned global investment manager serving select financial advisors and institutional clients. Since 1981, our entrepreneurial,","Analyst, Research",Austin,L
Amazon Corporate LLC,The successful candidate will be a person who enjoys and excels at diving into data to analyze root causes and implementing long term solutions in systems or...,Research Scientist,Austin,L
University of Texas at Austin,"Experience with quantitative research methods and data analysis. Techniques could include, but are not limited to, conducting stakeholder interviews, performing...",Research Engineering/ Scientist Associate V - Design Researc...,Austin,L
Texas Department of Public Safety,"Develop plans, policies, and procedures for analyzing and interpreting statistical data. Work involves coordinating the planning, analysis, and presentation of...","Statistician III-IV, HSOC, THP-Austin",Austin,L
"Signature Science, LLC","Quality Assurance Scientist - Summer Intern. The QA scientist will provide assistance in developing technical auditing and evaluation plans, supporting the...",Internship - Quality Assurance Scientist,Austin,L
University of Texas at Austin,"Collect, compile, and analyze data. To support funded research projects by providing lab management and conduct research in cell and molecular biology research...",Research Engineering/ Scientist Associate III - Lab Manager,Austin,L
"RetailMeNot, Inc.","RetailMeNot is looking for a highly analytical, passionate, collaborative, articulate data scientist to work in the domain of Attribution....","Principal Data Scientist, Attribution",Austin,L
University of Texas at Austin,Data analysis for space weather remediation. Demonstrated proficiency in software development and knowledge of statistical characterization data sets....,Engineering Scientist Associate - R and D Software Developer,Austin,L
Cray,"CRAY) provides innovative systems and solutions enabling scientists and engineers in industry, academia and government to meet existing and future simulation...",College Grad-Software Engineer-Analytics,Austin,L
"Accruent, Inc.","A Scientist – data-driven, objective, questioning. Drive analysis projects to transform data into actionable information – ultimately feeding into strategic...",Product Manager,Austin,L
The University of Texas System,"Assist in ongoing development of data warehouse to work in tandem of BI Suite, which includes data integration, data quality, data cleansing, and other Extract...",Institutional Research Analyst,Austin,L
Clinical Pathology Laboratories,Processes data following procedures and guidelines. The Scientist works closely with other laboratory personnel....,Analytical Chemistry Scientist,Austin,L
Precision For Value,"Experience in systematic reviews, designing, synthesizing data, interpreting results. Lead and manage multiple global HEOR projects from inception to delivery...","Research Scientist, HEOR, Health Analytics",Austin,L
MaxPoint,Senior Data Scientist – Geospatial Analytics. Design large scale data pipelines that transforms raw location data into usable customer insights....,Senior Data Scientist - Geospatial Analytics,Austin,L
KPMG,"Five years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...","Sr Associate Data Scientist, Big Data",Austin,L
SmarterHQ,"Experience working with data scientists a plus. Experience with data modeling techniques, as well as star schema;...",Sr. Software Developer,Austin,L
Deverus,"Experience playing Mad Scientist - We want someone to be open to experimenting with technologies. Proficiency working with SQL databases, best practices and...",Senior Java Developer,Austin,L
Vast,"Manage analytics product roadmap, with input from front-end product teams, designers, data scientists and engineering....",Analytics Product Manager,Austin,L
Asuragen,"Scientist I, Development*. Scientist I, Research and Technology Development*. Train assistant scientists and provide daily supervision as required....",Research Scientist,Austin,L
University of Texas at Austin,Experience in testing/using array processing algorithms with real data. Research and develop new array processing software for polarization diverse radio...,Research Associate - Array Processing Scientist,Austin,L
Apple,"Strong data & root cause analysis. Proven experience analyzing, interpreting and summarizing complex data as it relates to call center technologies....",Workforce Management & Quantitative Planning Analyst,Austin,L
Precision For Value,"Administrative hospital data, Electronic health record data, Registry data (SEER, SEER-Medicare, etc.), Survey data (NHANES, MEPS, NHIS, HRS, etc.)....","Research Scientist, Advanced Modeling",Austin,L
Integreon,"Experience conducting in-depth research and analysis of Intellectual Property data to assemble, analyze and deliver patent and trademark information and draft...",Legal Research Analyst/Intellectual Property Paralegal,Austin,L
"TEL Technology Center, America, Inc.","Years experience in metrology and data analysis. Our scientists at TEL Technology Center, America, LLC. You will utilize or coordinate data acquisition and...",Scientist,Austin,L
General Assembly,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",Data Science Immersive Instructor,Austin,L
"Omega Optics, Inc","High working ethics in data delivery. We are looking for high quality researchers with established track record in the area of photonics, with emphasis on...",Si Nanophotonics Research Scientists and Application Enginee...,Austin,L
Weston Solutions,"Project Geologist, Engineer, or Scientist - Project Team Lead. Will be required to lead the development of technical reports that involve complex data...","Project Team Lead Needed: Project Scientist, Geologist, or E...",Austin,L
HireStarter,Assembling training data. Prototyping your data models. O Big data infrastructure (ex:. 2 years experience with data mining....,Machine Learning Engineer - Cognitive Computing,Austin,L
Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,Data Scientist,Austin,L
HomeAway,"Collaborate with other teams including Software Developers, Data Scientist, and Data Warehouse Developers. Work with large, multi-terabyte, data sets data using...",Staff Hadoop Developer,Austin,L
Thermo Fisher Scientific,Generate data and support materials for product marketing initiatives. The Application Scientist is responsible for designing and executing validation programs...,Application Scientist,Austin,L
CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",Business Security Officer,Austin,L
University of Texas at Austin,"Proficiency related to implementation and testing of data processing algorithms. Investigation of autonomous control and data processing algorithms, including...",Engineering Scientist - Underwater Robotics Algorithm Lead,Austin,L
Atlantic Engineering Services,Data entry of mathematical analysis for wire attachments into set and standardized spreadsheets. Maintains project production needs for detailing Pole Data...,Make Ready Engineering Specialist (data analysis and entry),Austin,L
CDK Global,"CDK Data Services, Inc. From data scientists to sales and operations experts, we’re hiring to support your growth and ours....","Sales Engineer I (CDK Data Services, Inc.)",Austin,L
KPMG,"Eight years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...","Manager - Data Scientist, Big Data",Austin,L
BlackLocus,"Our people solve interesting, challenging problems while working closely with data scientists and business analysts....",Software Engineer,Austin,L
Ocean Conservancy,Strong data management and project management skills required. Training and experience with statistical analyses and presentation of data....,"Conservation Biologist, Gulf Restoration Program",Austin,L
Environmental Defense Fund,"As a Senior Data Analyst, you will play an instrumental role in working with an interdisciplinary team of scientists to conduct complex data analysis and...",Senior Data Analyst,Austin,L
Natera,Collects and researches data; Uses intuition and experience to complement data; Must be proficient with excel or other data analysis tools....,Senior Director of Operations,Austin,L
UT Health Science Center at Houston,"Four (4) years of experience analyzing outcomes resulting from survey data, internal data, and external data....",Sr. Statistician - Austin,Austin,L
Continuum,"Continuum has built a data analysis and application deployment platform that enables data scientists, quants, engineers and other domain experts to understand...",Implementation Engineer,Austin,L
C2 GPS- Capital Area Workforce,A Manager of Data Analysis and. The review and processing of data integrity (DINT) requests; Ad hoc reports using Infomaker or WIT SQL and/or other external...,"Manager of Data Analysis, Reporting and Quality Assurance",Austin,L
University of Texas at Austin,"Analyze mass spectrometry data analysis. One or more years of experience as a laboratory assistant, technician or staff scientist....",Research Engineering/ Scientist Assistant - Laboratory Techn...,Austin,L
University of Texas at Austin,"Interacts with center scientists and external clients. Creates, maintains and visualizes data from many different sources into cohesive optimized data...",Research Engineering/ Scientist Associate IV - Spatial Data...,Austin,L
University of Texas at Austin,"Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,Austin,L
Alcatel-Lucent,"Data Warehouse and ETL Administration. Familiarity with RDBMS databases (preferably Oracle), Reporting and data analysis....",Hosted Services Production Operations Senior System Administ...,Austin,L
Natera,"2 or more years’ experience in a CLIA-certified clinical laboratory setting analyzing, interpreting and reporting clinical genetic/genomic data....",Laboratory Director,Austin,L
CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",VP of Sales - Data Services,Austin,L
Cray,"CRAY) provides innovative systems and solutions enabling scientists and engineers in industry, academia and government to meet existing and future simulation...",OpenStack Software Developer,Austin,L
"Signature Science, LLC","Support projects through employing efficient and accurate data evaluation techniques, appropriately interpreting novel scenarios with limited support data,...",Bioinformatics Specialist,Austin,L
"Gartner, Inc.","To analyze, review and implement changes to digital properties so that they are optimized for search engines. • Review and analyze digital properties for","Software Advice, SEO Analyst, Gartner Research",Austin,L
HomeAway,"Collaborate with other teams including Software Developers, Data Scientist, and Data Warehouse Developers. Work with large, multi-terabyte, data sets data using...",Sr. Hadoop Developer,Austin,L
Agile Enterprise Solutions,"Able to work on complex problems in which analysis of situations or data requires an in-depth evaluation of various factors. Hi,....",Senior Regulatory Affairs Associate,Austin,L
Rank and Style,Work with our data scientist on our in-house ranking algorithm. You love data and know how to handle it. Build tools that analyze data to make the quality...,Full Stack Web Developer,Austin,L
Zilliant,Experience developing high performing software components with large data sets and a strong understanding of algorithmic complexity....,Senior Software Engineer – Science Team,Austin,L
"Magic Leap, Inc.","Collecting, analyzing and interpreting data; Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film,...",Optical Engineer,Austin,L
MaxPoint,"Senior Data Scientist – Machine Learning. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....",Senior Data Scientist - Machine Learning,Austin,L
Gold Executive Services,Complete ownership of all data analysis (until the data team is able to grow). Experience building customer-facing data products....,Data Scientist - Startup,Austin,L
Signature Science," Support projects through employing efficient and accurate data evaluation techniques, appropriately interpreting novel scenarios with limited support data,...",Bioinformatics Specialist,Austin,L
Civitas Learning,"Collaborate with product marketers, designers, data scientists and industry experts to produce relevant content (examples include webinars, videos, ebooks,...",Product Marketing Manager,Austin,L
CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....","Network Systems Engineer II - Austin, TX",Austin,L
Bioo Scientific Corp.,"Data organization and presentation are important components of this position. The candidate should have strong interpersonal skills, the ability to problem...",Staff Scientist,Austin,L
JE Compliance,"The ability to interact with many different types of individuals, including executives, scientists, engineers, and other business professionals....",International Environmental Specialist,Austin,L
University of Texas at Austin,"Demonstrated ability related to data acquisition and analysis methods including machine-learning, digital signal processing, or statistical data analysis....",Engineering Scientist Associate - Underwater Robotics Algori...,Austin,L
Luminex Corporation,Able to work on complex problems in which analysis of situations or data requires an in-depth evaluation of various factors....,Sr. Regulatory Affairs Associate,Austin,L
Providence Partners,"Company Located in South Austin, we are the leading information security research and advisory company globally. Benefits Phenomenal health benefits 3","Research Analyst (excel, analysis, client-facing)",Austin,L
IBM,Knowledge of trends in and capabilities for the data scientist and the BI market in general. 3+ Analytics portfolio experience required with special emphasis on...,Senior IT Analyst Relations Professional,Austin,L
Dell,"The Full Stack Developer functions as solutions architect, database developer, data scientist, and web developer....",Quality Staff Engineer,Austin,L
Emoters Robotics,"At Emoters, we’re developing tiny, autonomous robots that interact with their users much like pets. These robots are being designed to be lifelike, exhibit","Robotics software engineer (involves machine learning, AI, a...",Austin,L
University of Texas at Austin,Experience with processing and analyzing GNSS data. Perform processing and detailed analysis of data collected by GPS/GNSS receivers....,Engineering Scientist Associate - GNSS Analyst Associate,Austin,L
Natera,Strong data analysis skills including setting specifications and monitoring reagent/kit lot performance....,Quality Control Development Scientist,Austin,L
CLEAResult,"Know and evangelize best practices in working with people, data and client results. Develop and implements commercial and industrial service line strategy,...",Vice President Commercial and Industrial (C&I) Services,Austin,L
Main Street Hub,"As a Data Scientist at Main Street Hub, you will…. Resourceful in distilling questions, wrangling data, and driving decisions....",Data Scientist,Austin,L
Gold Executive Services,Experience building customer-facing data products. Complete ownership of all data science/analysis. Hands-On Development & Design of Data Models....,Senior Data Scientist - Retail Tech,Austin,L
Socrata,"Too often, this data is inaccessible and only useful if you’re a database administrator, or a data scientist....",Sales Representative Austin TX (TOLA),Austin,L
BlackLocus,"Our people solve interesting, challenging problems while working closely with data scientists and business analysts....",Sr. Software Engineer,Austin,L
"RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers. A pragmatic approach to problem solving, establishing...",Data Scientist,Austin,L
TalentCare LLC,"You will be a critical member of this team of highly skilled developers and scientists. We perform sophisticated signal processing, automated speech recognition...","Senior NodeJS Fullstack Developer at Clarify, Inc",Austin,L
"Evins Personnel Consultants, Inc.","Log data from tests, discuss results and findings of lab test and procedures with physicians. Medical laboratory scientist / medical laboratory technician...",Medical and Clinical Laboratory,Austin,L
HUNTER Technical Resources,"5+ years as a data scientist. Someone who has teaching experience whether its a formal professor, graduate instructor, someone who taught inside their own...","Lead Instructor, Principal Data Scientist",Austin,L
Natera,"Data collection and maintenance. The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, software engineers and...",Customer Care Tier 1 Specialist,Austin,L
CCC Information Services Inc.,"Design, optimize and operate data models used to store the data in the data stores. Strong development skills around Amazon data services – EMR, DynamoDB, RDS,...",Java Developer,Austin,L
Indeed,"Collaborate with product marketers, designers, data scientists and industry experts to produce relevant content that meets the needs of our employer audience....",Product Marketing Manager,Austin,L
Micron,"Working knowledge of fundamental Computer Science algorithms and data structures. Prior experience with testing file systems, block storage systems, RAID SW/FW,...",Storage Software SQA Architect Job,Austin,L
University of Texas at Austin,Develop and maintain internal and external-facing web applications to support GPS/GNSS data analysis. Develop server and client-side software to implement web...,Engineering Scientist - Web Application Developer,Austin,L
University of Texas at Austin,Develop and maintain internal and external-facing web applications to support GPS/GNSS data analysis. Develop server and client-side software to implement web...,Engineering Scientist Associate - Web Application Developer...,Austin,L
Natera,"Write SOP’s, summarize data in spreadsheets, graphs and presentations. Interact with Scientists, RA’s and Automation Engineers and work as a team....",Research Associate II,Austin,L
"Beckman Coulter, Inc.",Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs....,Field Service Engineer,Austin,L
"Magic Leap, Inc.","Ability to define problems, collect data, establish facts, and draw valid conclusions; Magic Leap is an eclectic group of visionaries, rocket scientists,...",Accounting Manager (TX),Austin,L
Merkle Inc.,"Collaborate with business analysts, data scientists, and other developers on a daily basis. Develop high-profile, high-performance big data visualization and...",Senior UI Developer,Austin,L
Natera,Word processing and data management skills required. Current ASCP board certification in Medical Technology or California State CLS or CGMBS license (Clinical...,Medical Technologist & Medical Results Coordinator,Austin,L
"InterSys Consulting, Inc.","As a Data Scientist you’ll play a major role in how they architect, visualize, and interpret critical data that is at the very core of our business....",Data Scientist,Austin,L
"Magic Leap, Inc.","Performs data backups and data recovery operations. Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of...",System Administrator (TX),Austin,L
CCC Information Services Inc.,"Design, optimize and operate data models used to store the data in the data stores. Strong development skills around Amazon data services – EMR, DynamoDB, RDS,...",Sr. Java Developer,Austin,L
University of Texas at Austin,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,Austin,L
"Myriad Genetics, Inc.","The Lab Technician I reports to a Supervisor, Senior Scientist, or Manager. This platform provides pre-clinical and clinical researchers with reproducible and...",Temporary Laboratory Technician (Testing),Austin,L
"RetailMeNot, Inc.","RetailMeNot is looking for a highly analytical, passionate, collaborative, articulate data scientist to work in the domain of Attribution....","Director of Data Science, Digital Attribution",Austin,L
University of Texas at Austin,Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,Austin,L
SciMetrika,Expertise in data management and statistical analysis. Develop procedures for data cleaning using SAS software....,Statistician (Various levels of Experience - Multiple Positi...,Atlanta,L
Leidos,"Experience working with large data sets is a plus. Performing data management under the direction of the CDC staff,....",Statistician,Atlanta,L
Oak Ridge Associated Universities,"Conducting data analysis to generate the characteristics of the simulation population. Conducting a systematic review, meta-analysis, or original data analysis...",Statistical/Mathematical Modeler,Atlanta,L
SunTrust,Statistical Modeler-264681 Description • Develop or analyze statistical & quantitative models. Research best practices and new technologies. • Perform,Statistical Modeler,Atlanta,L
"Pro-Sphere Tek, Inc.","Provide data analysis plans for analysis of large data sets, including techniques for linking datasets from diverse sources, and knowledge of weighting of data...",Bio Statistician,Atlanta,L
KPMG,"Five years of professional experience working as a Data Scientist. Drive client engagements focused on Big Data and Advanced Business Analytics, in the health...",Data Scientist - Health Care,Atlanta,L
SunTrust,"Data & Analytics Scientist - Consumer Banking - Atlanta-W426460. At SunTrust in Atlanta, our Data and Analytics Scientist performs sophisticated data analytics...",Data & Analytics Scientist - Consumer Banking - Atlanta,Atlanta,L
AT&T,"Supports data selection, extraction, and cleansing for corporate applications, including data warehouse and data marts. Data Analytics nanodegree;...",Sr Specialist SQL Data Analysis\Mining Atlanta GA Cricket Wi...,Atlanta,L
SunTrust,"Data Scientist & Analytics - Enterprise-W426007. Partners with Segment Data Scientists to perform sophisticated data analytics (encompassing data mining,...",Data Scientist & Analytics - Enterprise,Atlanta,L
Home Depot,"Solid understanding and use of statistical software to manipulate, analyze and interpret data. Strong analytical and statistical skills.Advanced computer skills...",STATISTICAL FORECAST ANALYST,Atlanta,L
State Farm Mutual Automobile Insurance Company,Reviews data in innovative ways to further the pricing and risk selection objectives of the enterprise. Communicates complex analytic methods and findings to...,Actuarial Statistician,Atlanta,L
Centers for Disease Control and Prevention,As an Interdisciplinary Health Scientist/ Behavioral Scientist you will:. Manage improvement plan task completion and analyze performance data to track progress...,Interdisciplinary Health Scientist/ Behavioral Scientist,Atlanta,L
Lifetime Fitness,Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....,Ultimate Hoops Statistician,Atlanta,L
Centers for Disease Control and Prevention,"As a Health Scientist your will:. In addition to meeting the basic requirements, applicants must have one year of specialized experience, equivalent to the GS...",Health Scientist,Atlanta,L
Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...",Data Scientist – Predictive Analytics,Atlanta,L
Home Depot,"Extensive work experience in Application Development, Optimization, Data Mining, Data Modeling, and Statistical Analysis....",DATA SCIENTIST- Space Optimization,Atlanta,L
Deloitte,"Statistics, moderate to advanced data analysis skills. Create specific data cuts based on specified criteria. Create custom peer groups and statistical analysis...",Quantitative Analyst - Global Benchmarking,Atlanta,L
Cox Automotive,"Description Cox Automotive is hiring a Senior Data Scientist. The Data Scientist, Senior Lead will be involved in all phases of (Big Data) analytics projects...",Senior Data Scientist,Atlanta,L
Oak Ridge Associated Universities,Experience analyzing national survey data sets is desired. Experience analyzing data using R and SAS is required....,STD Statistical Analysis Fellowship -- CDC,Atlanta,L
IBM,Build real-time interactive point- and map-based weather data visualizations based on data APIs and/or other stored or streaming data sources for internal...,Data Visualization Software Engineer,Atlanta,L
Oak Ridge Associated Universities,Reviewing literature and data. Participating in secondary analyses of existing data. The health scientist will serve as the fellow’s mentor....,Rare Disorders Research Fellowship -- CDC,Atlanta,L
Morehouse School Of Medicine,"Research Scholar position is open for energetic, motivated scientist interested in cardiovascular research. Conducing experiments, data collection and analysis,...",RP#0629 Research Scholar,Atlanta,L
Home Depot,"Operates under the supervision and mentorship of more experienced managers and data scientists. 20%-Leverages data analytics tools to create new dashboards,...",Data Analyst Supply Chain,Atlanta,L
Newell Rubbermaid,Partnership - Participate in opportunities to help shape strategic goals for eCommerce and maintain close working relationship with our business partners and...,Senior eCommerce Data Engineer,Atlanta,L
BSC Solutions Inc,"Laboratory Information Mgt Systems or LIMS) to lab instrument/computer interfacing, data flow, knowledge mgt, and analytics....",Research & Development Project/Program Manager,Atlanta,L
Otogenetics Corporation,"General knowledge of data mining. Strong knowledge of statistics, algorithms and data analyses. Familiarity with next-generation sequence data analysis tools,...",Bioinformatics/Computer Scientist with Bioinfomatics Experie...,Atlanta,L
InterContinental Hotels Group,"Knowledge in Data Discovery, Data Analysis, and Providing Data Insights (Data. Overall strategy Data and Integration needs behind PBS, CRS, RMS, Data....",Data Integration Strategy Manager,Atlanta,L
Georgia State University,"Administers, collects, enters, analyzes, and reports data. Reviews, analyzes, updates, and edits analyses and data extracts....",Sponsor Funded Professional - Research Scientist I,Atlanta,L
PreVisor,"Knowledgeable in SPSS and data analysis programs. Contribute to the ongoing development, validation, revision, and management of assessments and solutions and...",Associate Research Scientist - 6-month intern position,Atlanta,L
Northrop Grumman,"EARB in-house data analysis projects often involve health survey data sets with complex design. Provide data analysis plans for analysis of large data sets,...",Health Research Analyst 3,Atlanta,L
"ICF International, Inc.","Coordinating and managing data and conducting descriptive data analysis; Coordinating logistics for data collection activities, including site visits, focus...",Research Analyst - Public Health,Atlanta,L
Home Depot,"Analyze study data, create and present reports to appropriate stakeholders. POSITION PURPOSE - The Usability Research Sr Analyst conducts usability testing,...","Sr. Analyst, Usability Research (Digital Next Generation)",Atlanta,L
"Pro-Sphere Tek, Inc.",And knowledge of split sample weighting such as data trimming and data raking (iterative proportional fitting)....,Survey Statistician/Methodologist,Atlanta,L
Oak Ridge Associated Universities,Experience in large scale data management is a plus. Co-presenting results and findings to other scientists and public health researchers within and outside CDC...,Chronic Viral Diseases Fellowship - CDC,Atlanta,L
Capgemini,"Our Data Scientists come from all sorts of backgrounds, but all share the same characteristics; Good knowledge of various database systems from which data...",Data Science Consultant,Atlanta,L
Modis,We have a permanent job with our Atlanta client for a Data Scientist / Data Engineer with strong data analytics experience....,Data Scientist Job - Atlanta Based or Telecommute Option,Atlanta,L
Turner,"Demonstrated experience taming large data sets, building statistical models, and turning data into information....",Sr. Data Scientist,Atlanta,L
Home Depot,"Analyze study data, create and present reports to appropriate stakeholders. POSITION PURPOSE - The Usability Research Sr Analyst conducts usability testing,...","Sr. Analyst, Usability Research",Atlanta,L
Home Depot,"Data Scientists are responsible for organizing, analyzing, and then sharing insights gleaned from data. A Data Scientist leverages their technical abilities to...","Data Scientist , Supply Chain",Atlanta,L
